Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Cute little stay but with some concerns ,"1. I don’t mind small hotels but this hotel “lobby” is so small that it actually causes problems, like long line up with no space to really stand or put baggage.   2. Since the lobby is so small, the lineup to check out actually ended right in front of the elevator when we checkout, which I thought was not quite safe because the way out is blocked and not so convenient.   3. We didn’t have problem with the the tiny room as we imagined when viewing the photos on booking sites. We only had a couple of small baggage so we’re okay.   4. The queen double bed was quite comfortable. But just a note to remind: not easy for the one who sleeps on the inner side the bed. Basically had to walk on the bed thru another person.   5. The breakfast wasn’t pleasant... and the way the food was…",30,Oct-19,Travelled as a couple,4,11
Great Location BUT NO Room Service Not Cheerful Staffs in Ginett,Room esp Btahroom is Small Good for 1 Person Bed Linens and Towels sometimes Dirty so have to check Water in Paper Box is AWFUL Terrible Tastes Disgusting like Soaked Water TV Channels is a disappointment NO FoxLife AXN or Nickelodeon Staffs in the CoffeeShop Ginnett are NOT cheerful and nice ... Hostile Attitude esp the Indians (Frowning Faces) Terrible Chaotic Breakfast so crowded and if u are a Senior or PWD very inconvenient coz of the Stairs u have to go up&down to get food and NO airconditioning very HOT inside GREAT Location though near Bus Stops MRT Bugis Mall Supermarkets and Restaurants,30,Oct-19,Undisclosed,2,2
Overall was okay,Room is okay. Compact but We have what we need. Gotta be more aware of the space usage. Didn’t stated what is complimentary what is not. So we bought water from outside. Those notes/fliers on the wall is quite confusing also. One thing that we are not satisfied is the toilet floor tap. It’s stinky. Lobby access is confusing. ,40,Oct-19,Travelled on business,58,64
Not so relaxing ,"Check in: arrived one day late due to a delayed flight. Staff couldn’t find our name and said it’s because I didn’t tell him booking was the day earlier.  Not sure why that should matter, and it was mentioned first thing as we arrived to the counter.   Due to the cramped lobby, it is uncomfortable to stand and wait to check in.   Checkout was even worse, a line that stretched to the elevators.  I will say that the staff were always pleasant and helpful  , but it was not a good check out or check in experience.  Room : tiny but was fine for two if you don’t have much baggage, kinda an “ open one bag at a time” place. Bed was great! Sleep was great and room was quiet (14 floor).  Water machine is just outside the door which is great.   Breakfast: bad experience for us. Not a great…",30,Oct-19,Travelled as a couple,1,2
Hot water temp. is not stable.,"Hot water temp. is not stable, suddenly to hot and cold. never can get a right temp during showering time.  Others are fine,... Comment limited to min 200 letters are also bad exp. this his kind to force almost 99% guest not to provide comments, so should this is kind of negative requirements, otherwise you would only get positive comment from interested parties, you know what I mean.. haaaa.",30,Oct-19,Travelled on business,1,2
Awesome!,"Friendly staff and very kind! Rooms decor is awesome, has everything a person needs. The cleaning lady is very nice and does a great job. I would like to go again, and if I will this hotel will definitely be my first choice. Close to the MRT station and busses also. ",50,Oct-19,Travelled on business,1,2
Great room and amazing restaurant,"I've been staying at this hotel every time I visited here. Love the room and the restaurant. 150m to the subway, great walk to Bugis and a lot of cute cafes around. 15 mins walk to the national museum",50,Oct-19,Travelled on business,7,12
Very small rooms,"2 meter wide. The bed Is between the 2 walls with no extra space Like living in corridor. The first room I got was even smaller, I asked to change and this was the other option.  Clean and we'll designed. Service very good, the staff doing maximum.",30,Oct-19,Travelled on business,5,10
Not my 1st choice,"This was my second stay at Hotel G and I was the one recommend this place for my sister and her family, however we did not experience the same as my last stay.   I understand it's our job to keep a friendly environment from saving water and etc, but my sister had pulled out the whole bed sheet on the 3rd day because the baby had regurgitate milk so that the cleaner would understand it must be changed, yet, the bed sheet was not change and neither the blanket was being make up.   The room was not vacuum and hair has been all over the floor, even after we told the front counter about it. The hairdryer bag is very dusty too.  Besides above mentioned issue, all staff including the cleaners are friendly and nice.",30,Oct-19,Travelled with family,1,2
not clean as I stay before,"it was my second time stay, my experience was not good as last time due to I found hair on the ground and even on the new towel when I finish the shower, suggest can pay attention on this that will have better stay experience for customer. Thanks.",30,Oct-19,Travelled on business,35,87
Basic but sufficient accommodation ,"As consistently shared, room size is very small. Sufficient for solo stay, with the luggage kept under the bed. I wouldn’t stay with my partner in this hotel as it is simply too small.  Room setup is maximizing every angle and it is functional. As the TV is on the side of the wall, you need to turn your head if you want to watch TV. Rain shower is powerful and hot, which is good. Cleanliness is below expectation- the ceiling bulb cable is full of dust, and the bathroom grouting and sliding door track is dirty and disgusting.  Breakfast is sufficient to start the day with a full tummy.. their croissant and pastries are good. Brewed coffee is a little thin.. They don’t provide bottled drinking water but a common water dispenser at the corridor so please bring your own bottle.…",40,Oct-19,Travelled solo,1,2
Nice hotel to stay,"Its a very nice hotel and very convenient since it near mrt station and got so many good food around it. They got bar and nice restaurant at first floor. It's a nice experience and also their receptionist, Farhan is very helpful",50,Oct-19,Travelled on business,2,4
NOT as expected,Room is way more smaller than I thought; I'd rather pay $30 extra staying at destination or holiday inn express. Also the table where you work has small ants running around. Don;t know what to say; i didnt report it because i only stay for 2 nights.,30,Oct-19,Travelled on business,17,30
"Great location, no frills value","Overall I was satisfied with my stay at Hotel G. While the room was really small, it had mostly everything I needed and the location was great. Thoughts and feedback: What I liked: WiFi was good and was not complicated to setup. Water machine is a blessing, I use a water bottle to reduce waste and this was super useful. Hair drier was strong and solid. I liked the TV channels the offered, especially BBC Earth, Fox Movies, HBO. The gym was simple but the equipment was new and good, could be a little cooler IMO. What I didn’t like: Shower curtain made the shower area really small and curtains are unhygienic in general. Single use plastic for toiletries, opportunity to reduce waste here. Air conditioner was weird - I would wake up in the middle of the night sometimes and it would…",30,Oct-19,Undisclosed,706,106
