Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Nice resort very close to city center,Overall great stay. We ordered a hotel car to pick us up from the airport and after a long flight was pleased that they were there waiting it was super efficient. We booked a room in tower wing. Room was spacious with a balcony overlooking the pool. Hotel very family orientated so expect alot of screaming children  by the pool. The pool was packed every day we were there and sometimes difficult to get a lounger.  Breakfast was great with so many food stations and we were really spoilt for choices.  Checkout was a little strange. I to argue with the reception for him to allocate my shangri la points to my card. Because he kept saying the booking was made in my partner's name. Which actually wasnt the case it was made in both our names. After some persistence he allocated the…,40,Apr-19,Travelled as a couple,61,105,ShangriLa
Best hotel of all my Singapore visits so far,Personalized service; beautiful room; private balcony with lovely view; delicious breakfast buffet. Everything was very clean. Big & well equipped gym; great pool. Friendly & professional staff and exceptional standard of service are what put this hotel into the very top range,50,Nov-18,Undisclosed,11,24,ShangriLa
Amazing Rooms and Amenities,"We stayed here for 2 nights before heading to Bali - and the property is luxurious and well located.   We were in a Deluxe Room in the Tower Wing - the room was amazing, great amenities, loads of space and immense bathroom. It has everything you can expect from a 5-star hotel. We played with the curtains command way too much.  The only aspect that didn't empress me much and I thought was not very well taken care of is the pool area - it felt like a condominial pool, not very intimate and cosy.  Overall it was a positive experience but the pool area should maybe get a bit more attention.",40,Apr-19,Travelled as a couple,16,11,ShangriLa
Excellent in all aspects,Excellent in all aspects..staff were extremely helpful and friendly and we thoroughly enjoyed our stay. Highly recommend paying extra for Horizon Club access. Shangri-La Singapore helped to make our work/anniversary trip a very nice and memorable one!,40,Apr-19,Travelled as a couple,4,4,ShangriLa
Fabulous accommodation and staff,Very welcoming arrival. Reception staff exceptionally helpful and friendly. our room in garden wing is spacious and with nice amenities. Special thanks to Juliet and peter of the lobby.they have gone out of their way to ensure the comfort of my mum and I. Also wish to mention Amira for the surprise birthday cake. No regrets staying here.  Steve.,50,Apr-19,Travelled with family,1,0,ShangriLa
Great Spacious Room,Stayed at the garden wing and was offered the corner room on 9th floor. The room came with a massive balcony. The hotel was nice and comfortable. The service was amazing. The only issue was that the in room safe was broken and it took a few calls to get it fixed.,50,Apr-19,Travelled on business,117,62,ShangriLa
A peaceful oasis within a moving city ,"The personnel was warm and welcoming.  Rooms are always well prepared, in detail and service is done with a smile.  The location of the hotel is particularly beautiful - a peaceful oasis within a moving city - and anytime I go there for business, I have the impression of being on vacation. ",50,Apr-19,Undisclosed,29,20,ShangriLa
Terrific service and hospitality,Spent four nights here while on business. The staff were extremely helpful and friendly and really could not be faulted. Room was excellent as was the food and best pool in Singapore by far.  Would certainly say here again,50,Mar-19,Travelled on business,144,85,ShangriLa
Extraordinary Renovated Hotel,"Have stayed here fore three nights in garden wing with my parents and celebrate Dads birthday.   Upon arrival at around 1500, room was already ready with an extra bed placed inside. I must say, the renovated lobby is really amazing!  Mr Azhar welcomed us during check in. He is really a sincere and professional hotelier The room assigned has a huge balcony which my parents really like.  All the staff are well trained and friendly especially those from front office and bellmen.   Though Garden wing was not renovated, the room is super suitable for family with a natural garden in the atrium.  Really highly recommend this hotel :)",50,Apr-19,Travelled with family,1,0,ShangriLa
First class in all respects ,"We stayed here for three days as a present from my partners father for her birthday.   We were treated like royalty and the staff at this hotel are simply amazing. Friendly, courteous and charming.   I can't find fault with this hotel, with everything from stunning food, drinks and amenities. This hotel is absolutely worth a visit. ",50,Apr-19,Travelled with family,8,4,ShangriLa
Back again,"One of the best in the world garden wing top floor we keep coming back that says it all about the original Shangri la,staff and garden wing are exceptional recommendation is to book direct and grab the breakfast package,it has a great kids club and the waterfall restaurant is a must you wont want to leave ",50,Apr-19,Travelled as a couple,59,39,ShangriLa
“Loved it so much we had to return”,"Stayed here at the beginning of January, felt so at home, so relaxed and so well taken care of! We decided on our return from Australia we had to revisit this beautiful property.  An oasis within a city, beautiful setting, well manicured gardens, a truly relaxing atmosphere no matter how busy it gets, but the real stars and hidden heroes of this place has to be the team, from top to bottom the genuine warm welcome, the real pleasure in seeing you,and a genuine pleasure they have to ensure that your stay is like no other. Special hidden heroes even though there are too many to mention, have to be the team in the Horizon club, led by Charismatic Amir and Bioling, and their wonderful team, In particular the chef Ganesan Ashok, who had a real infectious warm personality, and insured…",50,Apr-19,Travelled with family,84,44,ShangriLa
